nivel,pai,filho,quantidade,quantidade_acumulada
6,I1007211,G2005696,0.082,0.246
6,I1007211,G2005696,0.492,1.476
6,I1007211,G2005696,0.123,0.369
5,I2015243,I1007212,3.0,3.0
6,I1007212,G2005882,0.14,0.42000000000000004
6,I1007212,G2005882,0.84,2.52
6,I1007212,G2005882,0.21,0.63
5,I2015243,I1008779,1.0,1.0
6,I1008779,G2000054,0.24,0.24
6,I1008779,G2000054,0.96,0.96
3,I2015623,I2015443,1.0,1.0
4,I2015443,G3006035,2.0,2.0
4,I2015443,I1033086,1.0,1.0
5,I1033086,G2005940,26.06,26.06
4,I2015443,I1043581,1.0,1.0
5,I1043581,G1009109,8.475,8.475
5,I1043581,G1009109,2.825,2.825
4,I2015443,I2013255,1.0,1.0
5,I2013255,G1005029,1.0,1.0
5,I2013255,G3004428,1.0,1.0
5,I2013255,I1006833,2.0,2.0
6,I1006833,G2005882,0.08,0.16
6,I1006833,G2005882,0.32,0.64
6,I1006833,G2005882,0.24,0.48
5,I2013255,I1038970,1.0,1.0
6,I1038970,G2005887,0.21,0.21
6,I1038970,G2005887,0.84,0.84
6,I1038970,G2005887,0.63,0.63
5,I2013255,I1038971,2.0,2.0
6,I1038971,G2000064,0.02,0.04
6,I1038971,G2000064,0.08,0.16
6,I1038971,G2000064,0.06,0.12
5,I2013255,G1005029,4.0,4.0
5,I2013255,G3004428,4.0,4.0
5,I2013255,I1006833,8.0,8.0
6,I1006833,G2005882,0.08,0.64
6,I1006833,G2005882,0.32,2.56
6,I1006833,G2005882,0.24,1.92
5,I2013255,I1038970,4.0,4.0
6,I1038970,G2005887,0.21,0.84
6,I1038970,G2005887,0.84,3.36
6,I1038970,G2005887,0.63,2.52
5,I2013255,I1038971,8.0,8.0
6,I1038971,G2000064,0.02,0.16
6,I1038971,G2000064,0.08,0.64
6,I1038971,G2000064,0.06,0.48
5,I2013255,G1005029,3.0,3.0
5,I2013255,G3004428,3.0,3.0
5,I2013255,I1006833,6.0,6.0
6,I1006833,G2005882,0.08,0.48
6,I1006833,G2005882,0.32,1.92
6,I1006833,G2005882,0.24,1.44
5,I2013255,I1038970,3.0,3.0
6,I1038970,G2005887,0.21,0.63
6,I1038970,G2005887,0.84,2.52
6,I1038970,G2005887,0.63,1.8900000000000001
5,I2013255,I1038971,6.0,6.0
6,I1038971,G2000064,0.02,0.12
6,I1038971,G2000064,0.08,0.48
6,I1038971,G2000064,0.06,0.36
3,I2015623,I2015444,1.0,1.0
4,I2015444,G1009112,1.0,1.0
4,I2015444,G3000328,8.0,8.0
4,I2015444,G3006035,2.0,2.0
4,I2015444,G3010009,2.0,2.0
4,I2015444,I1009007,1.0,1.0
5,I1009007,G1009109,16.06,16.06
5,I1009007,G1009109,4.015,4.015
4,I2015444,I1044220,1.0,1.0
5,I1044220,G2005940,23.21,23.21
4,I2015444,I2002647,1.0,1.0
5,I2002647,I1007210,4.0,4.0
6,I1007210,G2000054,6.36,25.44
6,I1007210,G2000054,1.59,6.36
5,I2002647,I1007211,12.0,12.0
6,I1007211,G2005696,0.082,0.984
6,I1007211,G2005696,0.492,5.904
6,I1007211,G2005696,0.123,1.476
5,I2002647,I1007212,12.0,12.0
6,I1007212,G2005882,0.14,1.6800000000000002
6,I1007212,G2005882,0.84,10.08
6,I1007212,G2005882,0.21,2.52
5,I2002647,I1008779,4.0,4.0
6,I1008779,G2000054,0.24,0.96
6,I1008779,G2000054,0.96,3.84
5,I2002647,I1007210,1.0,1.0
6,I1007210,G2000054,6.36,6.36
6,I1007210,G2000054,1.59,1.59
5,I2002647,I1007211,3.0,3.0
6,I1007211,G2005696,0.082,0.246
6,I1007211,G2005696,0.492,1.476
6,I1007211,G2005696,0.123,0.369
5,I2002647,I1007212,3.0,3.0
6,I1007212,G2005882,0.14,0.42000000000000004
6,I1007212,G2005882,0.84,2.52
6,I1007212,G2005882,0.21,0.63
5,I2002647,I1008779,1.0,1.0
6,I1008779,G2000054,0.24,0.24
6,I1008779,G2000054,0.96,0.96
4,I2015444,I2013255,1.0,1.0
5,I2013255,G1005029,1.0,1.0
5,I2013255,G3004428,1.0,1.0
5,I2013255,I1006833,2.0,2.0
6,I1006833,G2005882,0.08,0.16
6,I1006833,G2005882,0.32,0.64
6,I1006833,G2005882,0.24,0.48
5,I2013255,I1038970,1.0,1.0
6,I1038970,G2005887,0.21,0.21
6,I1038970,G2005887,0.84,0.84
6,I1038970,G2005887,0.63,0.63
5,I2013255,I1038971,2.0,2.0
6,I1038971,G2000064,0.02,0.04
6,I1038971,G2000064,0.08,0.16
6,I1038971,G2000064,0.06,0.12
5,I2013255,G1005029,4.0,4.0
5,I2013255,G3004428,4.0,4.0
5,I2013255,I1006833,8.0,8.0
6,I1006833,G2005882,0.08,0.64
6,I1006833,G2005882,0.32,2.56
6,I1006833,G2005882,0.24,1.92
5,I2013255,I1038970,4.0,4.0
6,I1038970,G2005887,0.21,0.84
6,I1038970,G2005887,0.84,3.36
6,I1038970,G2005887,0.63,2.52
5,I2013255,I1038971,8.0,8.0
6,I1038971,G2000064,0.02,0.16
6,I1038971,G2000064,0.08,0.64
6,I1038971,G2000064,0.06,0.48
5,I2013255,G1005029,3.0,3.0
5,I2013255,G3004428,3.0,3.0
5,I2013255,I1006833,6.0,6.0
6,I1006833,G2005882,0.08,0.48
6,I1006833,G2005882,0.32,1.92
6,I1006833,G2005882,0.24,1.44
5,I2013255,I1038970,3.0,3.0
6,I1038970,G2005887,0.21,0.63
6,I1038970,G2005887,0.84,2.52
6,I1038970,G2005887,0.63,1.8900000000000001
5,I2013255,I1038971,6.0,6.0
6,I1038971,G2000064,0.02,0.12
6,I1038971,G2000064,0.08,0.48
6,I1038971,G2000064,0.06,0.36
3,I2015623,I2015447,3.0,3.0
4,I2015447,G3006035,6.0,18.0
4,I2015447,I1043581,3.0,9.0
5,I1043581,G1009109,8.475,76.27499999999999
5,I1043581,G1009109,2.825,25.425
4,I2015447,I1044616,3.0,9.0
5,I1044616,G2005940,78.18,703.6200000000001
4,I2015447,I2013255,3.0,9.0
5,I2013255,G1005029,1.0,9.0
5,I2013255,G3004428,1.0,9.0
5,I2013255,I1006833,2.0,18.0
6,I1006833,G2005882,0.08,1.44
6,I1006833,G2005882,0.32,5.76
6,I1006833,G2005882,0.24,4.32
5,I2013255,I1038970,1.0,9.0
6,I1038970,G2005887,0.21,1.89
6,I1038970,G2005887,0.84,7.56
6,I1038970,G2005887,0.63,5.67
5,I2013255,I1038971,2.0,18.0
6,I1038971,G2000064,0.02,0.36
6,I1038971,G2000064,0.08,1.44
6,I1038971,G2000064,0.06,1.08
5,I2013255,G1005029,4.0,36.0
5,I2013255,G3004428,4.0,36.0
5,I2013255,I1006833,8.0,72.0
6,I1006833,G2005882,0.08,5.76
6,I1006833,G2005882,0.32,23.04
6,I1006833,G2005882,0.24,17.28
5,I2013255,I1038970,4.0,36.0
6,I1038970,G2005887,0.21,7.56
6,I1038970,G2005887,0.84,30.24
6,I1038970,G2005887,0.63,22.68
5,I2013255,I1038971,8.0,72.0
6,I1038971,G2000064,0.02,1.44
6,I1038971,G2000064,0.08,5.76
6,I1038971,G2000064,0.06,4.32
5,I2013255,G1005029,3.0,27.0
5,I2013255,G3004428,3.0,27.0
5,I2013255,I1006833,6.0,54.0
6,I1006833,G2005882,0.08,4.32
6,I1006833,G2005882,0.32,17.28
6,I1006833,G2005882,0.24,12.959999999999999
5,I2013255,I1038970,3.0,27.0
6,I1038970,G2005887,0.21,5.67
6,I1038970,G2005887,0.84,22.68
6,I1038970,G2005887,0.63,17.01
5,I2013255,I1038971,6.0,54.0
6,I1038971,G2000064,0.02,1.08
6,I1038971,G2000064,0.08,4.32
6,I1038971,G2000064,0.06,3.2399999999999998
3,I2015623,I2015448,1.0,1.0
4,I2015448,G3006035,2.0,2.0
4,I2015448,I1043581,1.0,1.0
5,I1043581,G1009109,8.475,8.475
5,I1043581,G1009109,2.825,2.825
4,I2015448,I1044221,1.0,1.0
5,I1044221,G2005940,26.06,26.06
4,I2015448,I2013255,1.0,1.0
5,I2013255,G1005029,1.0,1.0
5,I2013255,G3004428,1.0,1.0
5,I2013255,I1006833,2.0,2.0
6,I1006833,G2005882,0.08,0.16
6,I1006833,G2005882,0.32,0.64
6,I1006833,G2005882,0.24,0.48
5,I2013255,I1038970,1.0,1.0
6,I1038970,G2005887,0.21,0.21
6,I1038970,G2005887,0.84,0.84
6,I1038970,G2005887,0.63,0.63
5,I2013255,I1038971,2.0,2.0
6,I1038971,G2000064,0.02,0.04
6,I1038971,G2000064,0.08,0.16
6,I1038971,G2000064,0.06,0.12
5,I2013255,G1005029,4.0,4.0
5,I2013255,G3004428,4.0,4.0
5,I2013255,I1006833,8.0,8.0
6,I1006833,G2005882,0.08,0.64
6,I1006833,G2005882,0.32,2.56
6,I1006833,G2005882,0.24,1.92
5,I2013255,I1038970,4.0,4.0
6,I1038970,G2005887,0.21,0.84
6,I1038970,G2005887,0.84,3.36
6,I1038970,G2005887,0.63,2.52
5,I2013255,I1038971,8.0,8.0
6,I1038971,G2000064,0.02,0.16
6,I1038971,G2000064,0.08,0.64
6,I1038971,G2000064,0.06,0.48
5,I2013255,G1005029,3.0,3.0
5,I2013255,G3004428,3.0,3.0
5,I2013255,I1006833,6.0,6.0
6,I1006833,G2005882,0.08,0.48
6,I1006833,G2005882,0.32,1.92
6,I1006833,G2005882,0.24,1.44
5,I2013255,I1038970,3.0,3.0
6,I1038970,G2005887,0.21,0.63
6,I1038970,G2005887,0.84,2.52
6,I1038970,G2005887,0.63,1.8900000000000001
5,I2013255,I1038971,6.0,6.0
6,I1038971,G2000064,0.02,0.12
6,I1038971,G2000064,0.08,0.48
6,I1038971,G2000064,0.06,0.36
3,I2015623,I2015626,2.0,2.0
4,I2015626,G1009263,4.0,8.0
4,I2015626,G3001126,4.0,8.0
4,I2015626,G3001749,4.0,8.0
4,I2015626,I1007493,4.0,8.0
5,I1007493,G2005931,0.96,7.68
4,I2015626,I1044688,4.0,8.0
5,I1044688,G2005931,5.96,47.68
4,I2015626,I1044692,2.0,4.0
5,I1044692,G2005931,2.66,10.64
2,I2015622,I2015624,1.0,1.0
3,I2015624,G1004689,41.0,41.0
3,I2015624,G3000221,41.0,41.0
3,I2015624,I1011627,2.0,2.0
4,I1011627,G2005932,0.02,0.04
3,I2015624,I1023335,1.0,1.0
4,I1023335,G2000380,9.17,9.17
3,I2015624,I1023336,7.0,7.0
4,I1023336,G2005946,39.9,279.3
3,I2015624,I1023337,14.0,14.0
4,I1023337,G2005887,7.7,107.8
3,I2015624,I1023338,14.0,14.0
4,I1023338,G2005946,7.98,111.72
3,I2015624,I1023339,1.0,1.0
4,I1023339,G2005932,3.15,3.15
3,I2015624,I1023344,7.0,7.0
4,I1023344,G2005946,39.9,279.3
3,I2015624,I1023350,3.0,3.0
4,I1023350,G2005932,27.75,83.25
3,I2015624,I1026074,1.0,1.0
4,I1026074,G2005932,5.48,5.48
3,I2015624,I1026076,2.0,2.0
4,I1026076,G2000380,5.08,10.16
3,I2015624,I1030149,3.0,3.0
4,I1030149,G2005882,0.45,1.35
3,I2015624,I1030172,3.0,3.0
4,I1030172,G2005882,0.45,1.35
3,I2015624,I1039115,1.0,1.0
4,I1039115,G2000380,9.22,9.22
3,I2015624,I1039401,8.0,8.0
4,I1039401,G2005940,0.08,0.64
3,I2015624,I1039757,7.0,7.0
4,I1039757,G2000473,1.56,10.92
4,I1039757,G2000473,3.64,25.48
3,I2015624,I1044675,1.0,1.0
4,I1044675,G2005932,3.2,3.2
3,I2015624,I1044676,1.0,1.0
4,I1044676,G2005932,8.95,8.95
3,I2015624,I1044678,1.0,1.0
4,I1044678,G2000380,4.54,4.54
3,I2015624,I1044680,2.0,2.0
4,I1044680,G2000380,11.02,22.04
3,I2015624,I1044682,1.0,1.0
4,I1044682,G2000380,4.59,4.59
3,I2015624,I2015631,1.0,1.0
4,I2015631,G3006035,2.0,2.0
4,I2015631,I1044714,2.0,2.0
5,I1044714,G2005931,3.84,7.68
4,I2015631,I2013449,6.0,6.0
5,I2013449,G1004651,6.0,36.0
5,I2013449,G3000951,6.0,36.0
5,I2013449,G3001067,6.0,36.0
4,I2015631,I2014934,1.0,1.0
5,I2014934,I1042824,1.0,1.0
6,I1042824,G2005882,0.17,0.17
5,I2014934,I1042825,1.0,1.0
6,I1042825,G2005882,0.09,0.09
5,I2014934,I1042826,1.0,1.0
6,I1042826,G2005882,0.04,0.04
4,I2015631,I2015651,1.0,1.0
5,I2015651,I1044718,1.0,1.0
6,I1044718,G2000380,4.89,4.89
5,I2015651,I1044774,1.0,1.0
6,I1044774,G2000380,1.49,1.49
5,I2015651,I1044776,4.0,4.0
6,I1044776,G2000380,2.0,8.0
4,I2015631,I2015652,2.0,2.0
5,I2015652,I1044777,2.0,4.0
6,I1044777,G2000380,3.66,14.64
5,I2015652,I1044778,4.0,8.0
6,I1044778,G2000380,0.84,6.72
